"id","index","measurement_time","measured_value"
41784,11,"2021-12-01 15:45:00+01",175
41785,11,"2021-12-01 16:00:00+01",155
41786,11,"2021-12-01 16:15:00+01",200
41787,11,"2021-12-01 16:30:00+01",224
41788,11,"2021-12-01 16:45:00+01",191
41789,11,"2021-12-01 17:00:00+01",225
41790,11,"2021-12-01 17:15:00+01",252
41791,11,"2021-12-01 17:30:00+01",211
41792,11,"2021-12-01 17:45:00+01",238
41793,11,"2021-12-01 18:00:00+01",223
41794,11,"2021-12-01 18:15:00+01",180
41795,11,"2021-12-01 18:30:00+01",184
41796,11,"2021-12-01 18:45:00+01",154
41797,11,"2021-12-01 19:00:00+01",158
41798,11,"2021-12-01 19:15:00+01",131
41799,11,"2021-12-01 19:30:00+01",134
41800,11,"2021-12-01 19:45:00+01",110
41801,11,"2021-12-01 20:00:00+01",79
41802,11,"2021-12-01 20:15:00+01",75
41803,11,"2021-12-01 20:30:00+01",97
41804,11,"2021-12-01 20:45:00+01",74
41805,11,"2021-12-01 21:00:00+01",76
41806,11,"2021-12-01 21:15:00+01",87
41807,11,"2021-12-01 21:30:00+01",86
41808,11,"2021-12-01 21:45:00+01",58
41809,11,"2021-12-01 22:00:00+01",64
41810,11,"2021-12-01 22:15:00+01",56
41811,11,"2021-12-01 22:30:00+01",53
41812,11,"2021-12-01 22:45:00+01",39
41813,11,"2021-12-01 23:00:00+01",47
41814,11,"2021-12-01 23:15:00+01",30
41815,11,"2021-12-01 23:30:00+01",26
41816,11,"2021-12-01 23:45:00+01",31
41817,11,"2021-12-02 00:00:00+01",21
41818,11,"2021-12-02 00:15:00+01",25
41819,11,"2021-12-02 00:30:00+01",17
41820,11,"2021-12-02 00:45:00+01",13
41821,21,"2021-12-01 01:00:00+01",3
41822,21,"2021-12-01 01:15:00+01",7
41823,21,"2021-12-01 01:30:00+01",2
41824,21,"2021-12-01 01:45:00+01",4
41825,21,"2021-12-01 02:00:00+01",6
41826,21,"2021-12-01 02:15:00+01",4
41827,21,"2021-12-01 02:30:00+01",5
41828,21,"2021-12-01 02:45:00+01",3
41829,21,"2021-12-01 03:00:00+01",3
41830,21,"2021-12-01 03:15:00+01",2
41831,21,"2021-12-01 03:30:00+01",2
41832,21,"2021-12-01 03:45:00+01",4
41833,21,"2021-12-01 04:00:00+01",4
41834,21,"2021-12-01 04:15:00+01",4
41835,21,"2021-12-01 04:30:00+01",6
41836,21,"2021-12-01 04:45:00+01",5
41837,21,"2021-12-01 05:00:00+01",14
41838,21,"2021-12-01 05:15:00+01",5
41839,21,"2021-12-01 05:30:00+01",17
41840,21,"2021-12-01 05:45:00+01",19
41841,21,"2021-12-01 06:00:00+01",21
41842,21,"2021-12-01 06:15:00+01",22
41843,21,"2021-12-01 06:30:00+01",22
41844,21,"2021-12-01 06:45:00+01",22
41845,21,"2021-12-01 07:00:00+01",19
41846,21,"2021-12-01 07:15:00+01",24
41847,21,"2021-12-01 07:30:00+01",26
41848,21,"2021-12-01 07:45:00+01",27
41849,21,"2021-12-01 08:00:00+01",37
41850,21,"2021-12-01 08:15:00+01",26
41851,21,"2021-12-01 08:30:00+01",36
41852,21,"2021-12-01 08:45:00+01",29
41853,21,"2021-12-01 09:00:00+01",31
41854,21,"2021-12-01 09:15:00+01",40
41855,21,"2021-12-01 09:30:00+01",28
41856,21,"2021-12-01 09:45:00+01",43
41857,21,"2021-12-01 10:00:00+01",29
